,county,median_income,temp,total_population,elev_in_ft
793,"Howard County, Iowa",49869,62.3,9469,1238.3488372093022
794,"Humboldt County, Iowa",47252,65.4,9597,1129.0514705882354
795,"Ida County, Iowa",46993,66.1,7005,1308.645
796,"Iowa County, Iowa",59375,67.4,16662,810.2943037974684
797,"Jackson County, Iowa",49028,67.0,19485,729.6608527131783
798,"Jasper County, Iowa",55033,68.6,37813,896.7744680851064
799,"Jefferson County, Iowa",42899,68.5,15663,742.6969696969697
800,"Johnson County, Iowa",55700,67.6,152854,722.9460188933873
801,"Jones County, Iowa",55060,66.8,20646,852.4438502673797
802,"Keokuk County, Iowa",43838,68.2,10033,785.0769230769231
803,"Kossuth County, Iowa",51496,65.3,14828,1181.750588235294
804,"Lee County, Iowa",43312,70.2,33555,619.8305647840532
805,"Linn County, Iowa",59322,66.6,230299,816.04296875
806,"Louisa County, Iowa",51144,68.7,10837,625.3089887640449
807,"Lucas County, Iowa",43962,68.9,8634,991.6366279069769
808,"Lyon County, Iowa",57130,64.8,11934,1391.6151603498542
809,"Madison County, Iowa",60060,68.9,16548,1071.0118343195263
810,"Mahaska County, Iowa",48726,68.7,22190,803.5845070422536
811,"Marion County, Iowa",54693,69.0,33414,857.2947558770344
812,"Marshall County, Iowa",53351,67.1,40105,968.1986455981942
813,"Mills County, Iowa",63979,69.0,14484,1062.1528239202655
814,"Mitchell County, Iowa",49488,64.0,10565,1177.2134831460671
815,"Monona County, Iowa",40302,66.9,8751,1111.6521739130435
816,"Monroe County, Iowa",46304,69.0,7577,895.3333333333334
817,"Montgomery County, Iowa",42418,68.2,10330,1118.945147679325
818,"Muscatine County, Iowa",53676,68.3,43235,653.1441860465117
819,"Osceola County, Iowa",49448,64.3,6192,1529.5897435897436
820,"Page County, Iowa",43912,69.0,15211,1052.6464968152866
821,"Palo Alto County, Iowa",47113,65.2,8996,1263.6482084690554
822,"Plymouth County, Iowa",57130,65.8,25698,1275.9261083743845
823,"Pocahontas County, Iowa",45069,65.6,7078,1230.826923076923
824,"Polk County, Iowa",60061,68.7,492401,902.4356306892068
825,"Pottawattamie County, Iowa",51976,68.4,93667,1099.2981969486823
826,"Poweshiek County, Iowa",51006,67.4,18662,940.7275449101796
827,"Ringgold County, Iowa",47042,68.5,4663,1150.6803278688524
828,"Sac County, Iowa",49572,66.6,9814,1284.0
829,"Scott County, Iowa",55114,69.1,174669,675.6043956043956
830,"Shelby County, Iowa",50952,66.8,11746,1289.6153846153843
831,"Sioux County, Iowa",61627,65.2,35872,1374.448160535117
832,"Story County, Iowa",50438,67.2,98537,971.2725832012678
833,"Tama County, Iowa",55203,66.3,17135,915.1881188118812
834,"Taylor County, Iowa",44246,68.6,5896,1191.9864864864865
835,"Union County, Iowa",44351,68.2,12138,1224.6833333333334
836,"Van Buren County, Iowa",45111,69.2,7203,672.7217847769028
837,"Wapello County, Iowa",42095,69.0,35437,745.4864864864865
838,"Warren County, Iowa",64447,69.5,52403,922.5243664717348
839,"Washington County, Iowa",56390,68.1,22565,720.6319796954315
840,"Wayne County, Iowa",43358,68.7,6497,1064.5547445255474
841,"Webster County, Iowa",42408,65.7,36999,1108.8011695906432
842,"Winnebago County, Iowa",47668,64.0,10679,1245.1628787878788
843,"Winneshiek County, Iowa",54429,63.0,20070,1078.8645418326694
844,"Woodbury County, Iowa",46720,66.5,105941,1175.1303797468354
845,"Worth County, Iowa",48459,64.1,7443,1222.6163793103449
846,"Wright County, Iowa",43698,64.9,12943,1157.8072289156626
847,"Allen County, Kansas",38698,73.6,12526,1002.407624633431
848,"Anderson County, Kansas",40696,73.6,7836,1037.9846153846154
849,"Atchison County, Kansas",43581,71.5,16348,985.8435114503816
850,"Barber County, Kansas",51811,75.7,4228,1557.7511111111112
851,"Barton County, Kansas",44013,72.5,25493,1871.162234042553
852,"Bourbon County, Kansas",38280,73.3,14360,898.2231182795699
853,"Brown County, Kansas",43724,71.0,9508,1091.3715415019765
854,"Butler County, Kansas",58897,75.0,67380,1338.7323943661972
855,"Chase County, Kansas",38707,73.4,2572,1251.0532544378698
856,"Chautauqua County, Kansas",37993,75.4,3379,889.3688888888889
857,"Cherokee County, Kansas",41388,75.0,19362,876.4629629629629
858,"Cheyenne County, Kansas",44500,71.0,2616,3345.765363128492
859,"Clark County, Kansas",42589,75.6,1991,2117.1503759398497
860,"Clay County, Kansas",52066,73.1,8117,1265.8912133891213
861,"Cloud County, Kansas",39282,72.5,9032,1409.260700389105
862,"Coffey County, Kansas",57433,73.3,8360,1073.635245901639
863,"Comanche County, Kansas",45288,75.4,1689,1919.145299145299
864,"Cowley County, Kansas",43860,76.1,34549,1195.6046128500825
865,"Crawford County, Kansas",36534,74.1,38972,939.9580838323352
866,"Decatur County, Kansas",40657,71.4,2764,2622.981927710844
867,"Dickinson County, Kansas",49096,74.2,18402,1241.1469816272966
868,"Doniphan County, Kansas",47209,71.0,7510,989.073359073359
869,"Douglas County, Kansas",50939,72.8,118785,943.6834415584416
870,"Edwards County, Kansas",47303,73.5,2907,2170.772277227723
871,"Elk County, Kansas",36458,74.7,2483,1032.12
872,"Ellis County, Kansas",45579,72.9,28934,2012.1368421052632
873,"Ellsworth County, Kansas",47736,73.1,6376,1631.972972972973
874,"Finney County, Kansas",49227,72.9,38470,2839.9747899159665
875,"Ford County, Kansas",50777,74.1,34287,2506.2558139534885
876,"Franklin County, Kansas",51081,73.0,25996,967.1420454545456
877,"Geary County, Kansas",43992,73.6,36739,1170.54
878,"Gove County, Kansas",46364,72.9,2718,2701.5407407407406
879,"Graham County, Kansas",43826,72.3,2415,2255.304635761589
880,"Grant County, Kansas",55432,73.0,7352,3055.463157894737
881,"Gray County, Kansas",61000,73.4,5653,2731.6153846153848
882,"Greeley County, Kansas",47750,70.8,1284,3646.8888888888887
883,"Greenwood County, Kansas",38838,73.9,6016,1100.8823529411766
884,"Hamilton County, Kansas",45114,72.2,2518,3323.438202247191
885,"Harper County, Kansas",43973,76.0,5485,1363.9766081871346
886,"Harvey County, Kansas",51327,75.0,34024,1441.5081967213114
887,"Haskell County, Kansas",56484,73.1,3780,2925.0
888,"Hodgeman County, Kansas",54856,74.0,1723,2292.814159292036
889,"Jackson County, Kansas",54077,71.6,13232,1101.2618025751074
890,"Jefferson County, Kansas",57236,72.2,18368,1009.443113772455
891,"Jewell County, Kansas",40553,70.8,2932,1642.8032786885246
892,"Johnson County, Kansas",76113,72.6,609863,997.385814889336
893,"Kearny County, Kansas",50506,72.5,3983,3036.0361445783133
894,"Kingman County, Kansas",50844,74.7,7470,1572.0092592592594
895,"Kiowa County, Kansas",43963,74.0,2460,2183.0176991150443
896,"Labette County, Kansas",41439,74.9,20184,880.6940639269407
897,"Lane County, Kansas",56507,73.2,1574,2773.0864197530864
898,"Leavenworth County, Kansas",63726,72.3,81881,904.5326315789474
899,"Lincoln County, Kansas",44276,72.9,2939,1436.517948717949
900,"Linn County, Kansas",46964,73.4,9591,891.5751879699249
901,"Logan County, Kansas",46875,72.4,2762,3072.371900826446
902,"Lyon County, Kansas",40021,72.6,32179,1157.927536231884
903,"McPherson County, Kansas",56128,74.3,30223,1474.819196428571
904,"Marion County, Kansas",45927,74.2,11823,1412.0625
905,"Marshall County, Kansas",45374,71.2,10038,1247.8652694610778
906,"Meade County, Kansas",52250,75.0,4055,2526.311258278145
907,"Miami County, Kansas",60966,72.9,34191,957.9917808219178
908,"Mitchell County, Kansas",48217,71.9,5796,1470.0685483870968
909,"Montgomery County, Kansas",41083,75.3,31486,804.6628131021195
910,"Morris County, Kansas",47089,72.9,5386,1360.975845410628
911,"Morton County, Kansas",46028,72.3,2701,3485.5454545454545
912,"Nemaha County, Kansas",48653,70.7,10273,1232.9781659388643
913,"Neosho County, Kansas",43195,73.9,15904,949.0414364640884
914,"Ness County, Kansas",44904,73.6,2687,2357.525
915,"Norton County, Kansas",47852,71.7,5459,2282.6497461928934
916,"Osage County, Kansas",49915,72.6,15766,1074.8934911242604
917,"Osborne County, Kansas",40216,72.0,3500,1668.0238095238096
918,"Ottawa County, Kansas",52479,73.6,5735,1312.538860103627
919,"Pawnee County, Kansas",43250,73.1,6253,2058.8625
920,"Phillips County, Kansas",44170,71.2,4981,1954.611111111111
921,"Pottawatomie County, Kansas",60216,72.7,25348,1123.3362068965516
922,"Pratt County, Kansas",49550,74.0,9157,1905.272727272728
923,"Rawlins County, Kansas",41579,71.0,2561,3007.685185185185
924,"Reno County, Kansas",45288,74.2,61898,1566.264598540146
925,"Republic County, Kansas",40449,71.3,4674,1511.793427230047
926,"Rice County, Kansas",48460,73.5,9427,1692.2926829268292
927,"Riley County, Kansas",44437,73.2,71959,1128.439918533605
928,"Rooks County, Kansas",43558,72.4,4919,1975.3024390243904
929,"Rush County, Kansas",38854,72.8,2956,2051.494047619048
930,"Russell County, Kansas",41102,72.8,6691,1727.342741935484
931,"Saline County, Kansas",47801,74.2,54303,1268.03007518797
932,"Scott County, Kansas",51850,72.6,5151,2958.965277777778
933,"Sedgwick County, Kansas",50657,75.2,523824,1333.7076923076922
934,"Seward County, Kansas",47134,73.9,21964,2831.577142857143
935,"Shawnee County, Kansas",50378,72.6,178909,962.8
936,"Sheridan County, Kansas",49750,71.8,2447,2673.350427350428
937,"Sherman County, Kansas",39029,71.2,5927,3678.3880597014927
938,"Smith County, Kansas",43848,70.5,3570,1778.1960784313726
939,"Stafford County, Kansas",47377,73.1,4072,1896.6174863387976
940,"Stanton County, Kansas",43780,72.5,2084,3347.1129032258063
941,"Stevens County, Kansas",55433,72.9,5250,3096.288888888889
942,"Sumner County, Kansas",50141,76.3,22382,1222.6148648648648
943,"Thomas County, Kansas",48504,71.4,7930,3170.544871794872
944,"Trego County, Kansas",54000,72.9,2808,2362.6585365853657
945,"Wabaunsee County, Kansas",54688,72.7,6877,1154.3783783783783
946,"Wallace County, Kansas",47279,71.7,1512,3525.333333333333
947,"Washington County, Kansas",45159,70.9,5530,1357.585185185185
948,"Wichita County, Kansas",57171,71.7,2152,3286.236111111112
949,"Wilson County, Kansas",40306,74.4,8624,896.1757188498402
950,"Woodson County, Kansas",35787,73.7,3115,1028.740088105727
951,"Wyandotte County, Kansas",40113,72.6,169245,890.6872909698997
952,"Adair County, Kentucky",33362,67.2,18903,843.1327160493827
953,"Allen County, Kentucky",41326,68.4,20588,691.3842592592592
954,"Anderson County, Kentucky",53974,69.5,23852,743.7313432835821
955,"Ballard County, Kentucky",42244,72.2,7728,362.5948717948718
956,"Barren County, Kentucky",38370,67.5,44485,735.82
957,"Bath County, Kentucky",33483,67.9,12750,806.6361111111111
958,"Bell County, Kentucky",22443,66.1,24097,1349.5650224215246
959,"Boone County, Kentucky",66730,69.5,135968,746.4651162790698
960,"Bourbon County, Kentucky",45208,68.1,20252,856.4722222222222
961,"Boyd County, Kentucky",42319,68.3,48261,636.2128279883382
962,"Boyle County, Kentucky",39704,68.6,30614,960.1969111969112
963,"Bracken County, Kentucky",36327,68.4,8400,727.5166666666667
964,"Breathitt County, Kentucky",25817,69.0,13718,845.3363874345549
965,"Breckinridge County, Kentucky",43479,68.3,20432,610.9118644067796
966,"Bullitt County, Kentucky",55975,70.5,82217,561.1594594594594
967,"Butler County, Kentucky",33536,68.9,12371,517.9616519174041
968,"Caldwell County, Kentucky",42537,70.8,12649,494.05801104972375
969,"Calloway County, Kentucky",37034,71.0,37103,488.1729106628242
970,"Campbell County, Kentucky",54621,69.4,93076,641.4681318681319
971,"Carlisle County, Kentucky",38829,71.9,4826,388.203007518797
972,"Carroll County, Kentucky",41439,69.9,10810,538.4251497005988
973,"Carter County, Kentucky",36696,67.6,26627,764.3178717598909
974,"Casey County, Kentucky",32341,67.8,15941,1001.981308411215
975,"Christian County, Kentucky",39521,70.3,72748,557.9660574412533
976,"Clark County, Kentucky",47959,68.4,36972,863.0383561643836
977,"Clay County, Kentucky",21549,68.2,20345,962.0214689265536
978,"Clinton County, Kentucky",28025,67.8,9253,931.4325842696628
979,"Crittenden County, Kentucky",35316,70.7,8990,480.2608695652174
980,"Cumberland County, Kentucky",32019,67.9,5888,680.0939597315436
981,"Daviess County, Kentucky",45989,70.1,103312,427.2534435261708
982,"Edmonson County, Kentucky",41710,68.2,12126,601.6485623003194
983,"Elliott County, Kentucky",28224,67.7,7354,853.0483870967741
984,"Estill County, Kentucky",29770,68.9,14163,831.4378698224853
985,"Fayette County, Kentucky",49778,68.7,322570,964.0364963503648
986,"Fleming County, Kentucky",35469,67.7,15082,802.536231884058
987,"Floyd County, Kentucky",30096,68.8,35942,773.1327319587629
988,"Franklin County, Kentucky",47964,69.8,51541,679.0989304812834
989,"Fulton County, Kentucky",28359,71.6,6515,345.3468208092485
990,"Gallatin County, Kentucky",48370,69.8,8690,583.8983050847457
991,"Garrard County, Kentucky",44243,69.0,16953,907.7620967741937
992,"Grant County, Kentucky",44824,69.1,24941,832.6188118811881
993,"Graves County, Kentucky",39530,71.2,36649,465.6410256410256
994,"Grayson County, Kentucky",35030,68.0,26420,606.8202898550725
995,"Green County, Kentucky",34982,67.7,11107,700.6293706293707
996,"Greenup County, Kentucky",45370,68.0,35962,638.3182711198428
997,"Hancock County, Kentucky",50476,68.5,9095,494.348623853211
998,"Hardin County, Kentucky",50765,69.0,110702,696.0550098231827
999,"Harlan County, Kentucky",25814,65.4,26831,1560.2736842105264
1000,"Harrison County, Kentucky",35681,68.4,18692,774.4463519313305
1001,"Hart County, Kentucky",34774,67.6,19288,686.9067524115756
1002,"Henderson County, Kentucky",41036,71.5,44793,405.6528925619835
1003,"Henry County, Kentucky",46495,69.6,15678,716.9963099630996
1004,"Hickman County, Kentucky",41218,71.6,4521,386.36764705882354
1005,"Hopkins County, Kentucky",42346,71.0,45423,454.5793450881612
1006,"Jackson County, Kentucky",29826,67.9,12955,1123.7184265010353
1007,"Jefferson County, Kentucky",48695,70.9,782969,522.2384507699487
1008,"Jessamine County, Kentucky",50558,69.2,52991,863.2284866468842
1009,"Johnson County, Kentucky",35570,68.5,22680,714.3927813163482
1010,"Kenton County, Kentucky",54296,69.3,169064,699.0931558935362
1011,"Knott County, Kentucky",30411,68.1,14251,1053.797843665768
1012,"Knox County, Kentucky",26599,67.4,30193,1068.271016311167
1013,"Larue County, Kentucky",38578,68.5,14867,769.2777777777778
1014,"Laurel County, Kentucky",36020,67.9,62613,1101.84496124031
1015,"Lawrence County, Kentucky",35935,68.3,16293,663.5902173913043
1016,"Lee County, Kentucky",22698,68.9,7395,822.2393162393163
1017,"Leslie County, Kentucky",25872,67.6,10513,1141.5840455840455
1018,"Letcher County, Kentucky",30333,66.9,21548,1359.7158620689654
1019,"Lewis County, Kentucky",28630,67.8,13080,694.6029216467464
1020,"Lincoln County, Kentucky",37139,68.2,24275,1053.5343915343915
1021,"Livingston County, Kentucky",42171,70.9,8888,403.4451219512195
1022,"Logan County, Kentucky",38570,69.0,27432,584.6691449814126
1023,"Lyon County, Kentucky",46931,71.0,8680,416.712962962963
1024,"McCracken County, Kentucky",44067,71.9,67875,378.224025974026
1025,"McCreary County, Kentucky",19328,67.1,16888,1076.5018050541516
1026,"McLean County, Kentucky",40770,70.7,9152,423.61006289308176
1027,"Madison County, Kentucky",42390,69.0,92701,870.0020876826723
1028,"Magoffin County, Kentucky",28500,68.4,11637,936.267229254571
1029,"Marion County, Kentucky",38826,68.5,19581,753.4749163879599
1030,"Marshall County, Kentucky",45212,71.4,31659,414.0523560209424
1031,"Martin County, Kentucky",25795,68.8,11287,709.9117647058823
1032,"Mason County, Kentucky",38824,67.8,17120,730.8615384615384
1033,"Meade County, Kentucky",49884,69.4,30003,620.2980769230769
1034,"Menifee County, Kentucky",31503,67.8,6113,936.373368146214
1035,"Mercer County, Kentucky",42083,69.2,22641,830.0468085106382
1036,"Metcalfe County, Kentucky",32294,66.6,10286,815.9119170984455
1037,"Monroe County, Kentucky",31045,67.6,11338,781.2189781021898
1038,"Montgomery County, Kentucky",39275,68.0,28114,908.3668341708544
1039,"Morgan County, Kentucky",29707,68.1,13726,864.8488023952095
1040,"Muhlenberg County, Kentucky",38961,69.8,30928,476.7590759075908
1041,"Nelson County, Kentucky",49298,69.4,46738,627.6666666666666
1042,"Nicholas County, Kentucky",36097,67.8,7537,782.8552631578947
1043,"Ohio County, Kentucky",40189,69.0,23772,478.1317365269461
1044,"Oldham County, Kentucky",85452,69.9,67607,685.6866666666666
1045,"Owen County, Kentucky",41934,69.4,11278,756.6420118343195
1046,"Owsley County, Kentucky",20985,68.9,4051,865.9053627760252
1047,"Pendleton County, Kentucky",48353,69.0,14644,713.5196850393701
1048,"Perry County, Kentucky",32667,68.4,28473,990.56
1049,"Pike County, Kentucky",33183,68.2,58669,919.6332992849848
1050,"Powell County, Kentucky",29736,68.5,13129,837.6611295681063
1051,"Pulaski County, Kentucky",34790,68.0,65034,984.6200215285252
1052,"Robertson County, Kentucky",31741,68.0,2193,751.795918367347
1053,"Rockcastle County, Kentucky",31555,68.0,16037,1076.6020066889632
1054,"Rowan County, Kentucky",36860,67.5,24662,891.2598425196851
1055,"Russell County, Kentucky",30720,67.7,17991,881.9759036144578
1056,"Scott County, Kentucky",63027,68.9,57155,846.1830985915493
1057,"Shelby County, Kentucky",60324,69.5,48065,783.3535353535353
1058,"Simpson County, Kentucky",39679,69.0,19594,680.5370370370371
1059,"Spencer County, Kentucky",63000,69.8,19490,624.0833333333334
1060,"Taylor County, Kentucky",33340,67.9,26023,827.037558685446
1061,"Todd County, Kentucky",40497,69.5,12243,628.3559322033898
1062,"Trigg County, Kentucky",44083,70.8,14061,449.2048611111111
1063,"Trimble County, Kentucky",47409,69.7,8474,700.8849557522124
1064,"Union County, Kentucky",40120,71.1,13668,409.561320754717
1065,"Warren County, Kentucky",44911,69.0,134554,559.9366754617414
1066,"Washington County, Kentucky",40976,68.9,12027,734.57421875
1067,"Wayne County, Kentucky",28573,67.6,19555,1025.763725490196
1068,"Webster County, Kentucky",38917,71.1,13017,444.24908424908426
1069,"Whitley County, Kentucky",31014,67.3,36712,1094.9900662251655
1070,"Wolfe County, Kentucky",20504,68.4,6562,965.2612359550562
1071,"Woodford County, Kentucky",58750,69.5,26871,783.6404958677685
1072,"Acadia Parish, Louisiana",37649,77.2,57576,27.07307692307692
1073,"Allen Parish, Louisiana",40948,76.7,22750,76.22713864306785
1074,"Ascension Parish, Louisiana",70551,77.7,126500,13.88888888888889
1075,"Assumption Parish, Louisiana",49167,78.0,21039,9.886925795053005
1076,"Avoyelles Parish, Louisiana",33739,76.3,39693,53.57861635220126
1077,"Beauregard Parish, Louisiana",45969,77.0,36549,115.2279293739968
1078,"Bienville Parish, Louisiana",32876,76.4,12981,245.64444444444445
1079,"Bossier Parish, Louisiana",52892,76.8,128746,200.38863287250385
1080,"Caddo Parish, Louisiana",41234,76.8,237848,210.24094488188976
1081,"Calcasieu Parish, Louisiana",45312,77.5,216785,16.78551000953289
1082,"Caldwell Parish, Louisiana",33294,75.4,9645,101.99445983379502
1083,"Cameron Parish, Louisiana",64231,77.8,5617,1.7571157495256169
1084,"Catahoula Parish, Louisiana",34904,76.0,8906,62.13067150635209
1085,"Claiborne Parish, Louisiana",32072,75.5,14170,284.2109375
1086,"Concordia Parish, Louisiana",29654,76.1,18687,50.5045871559633
1087,"De Soto Parish, Louisiana",41468,77.0,26812,248.47457627118644
1088,"East Baton Rouge Parish, Louisiana",49285,76.7,456781,49.7686308492201
1089,"East Carroll Parish, Louisiana",21099,75.4,7459,93.09160305343512
1090,"East Feliciana Parish, Louisiana",45520,76.1,19539,201.9517766497462
1091,"Evangeline Parish, Louisiana",30009,76.5,32350,71.109375
1092,"Franklin Parish, Louisiana",30275,75.6,19774,68.26506024096386
1093,"Grant Parish, Louisiana",39914,75.8,22169,126.46601941747574
1094,"Iberia Parish, Louisiana",45261,77.5,69929,11.603321033210332
1095,"Iberville Parish, Louisiana",45117,77.4,30241,15.512562814070352
1096,"Jackson Parish, Louisiana",38029,75.3,15031,213.19182389937103
1097,"Jefferson Parish, Louisiana",47947,78.3,440781,1.2133333333333334
1098,"Jefferson Davis Parish, Louisiana",39063,77.1,32250,21.599378881987576
1099,"Lafayette Parish, Louisiana",51869,77.3,241753,33.14774281805745
1100,"Lafourche Parish, Louisiana",51030,78.2,97557,4.099023709902371
1101,"Lincoln Parish, Louisiana",33467,75.4,48396,243.1497005988024
1102,"Livingston Parish, Louisiana",58251,77.0,142282,33.099236641221374
1103,"Madison Parish, Louisiana",23854,75.6,10017,79.040625
1104,"Morehouse Parish, Louisiana",28003,75.2,25629,99.25121951219512
1105,"Natchitoches Parish, Louisiana",31345,76.6,37515,142.85399159663865
1106,"Orleans Parish, Louisiana",36792,78.0,383997,0.9219190968955786
1107,"Ouachita Parish, Louisiana",37754,75.3,160368,91.32624113475175
1108,"Plaquemines Parish, Louisiana",50314,78.7,23515,0.3961605584642234
1109,"Pointe Coupee Parish, Louisiana",43825,76.8,20758,31.983364140480592
1110,"Rapides Parish, Louisiana",40734,76.3,130023,107.26153846153846
1111,"Red River Parish, Louisiana",38000,77.0,7620,159.96750902527077
1112,"Richland Parish, Louisiana",36421,75.4,20043,76.52076677316293
1113,"Sabine Parish, Louisiana",38828,76.7,22155,243.28241563055064
1114,"Tangipahoa Parish, Louisiana",41302,76.8,133157,94.22614107883815
1115,"Tensas Parish, Louisiana",22940,75.8,4147,64.1239837398374
1116,"Terrebonne Parish, Louisiana",47826,78.2,109580,2.7103658536585367
1117,"Union Parish, Louisiana",34992,75.2,21107,147.58520179372198
1118,"Vermilion Parish, Louisiana",45374,77.4,57359,6.997001499250374
1119,"Vernon Parish, Louisiana",46312,76.6,48750,233.8198581560284
1120,"Washington Parish, Louisiana",30705,76.7,45463,184.5633423180593
1121,"Webster Parish, Louisiana",33681,76.6,36967,236.5104761904762
1122,"West Baton Rouge Parish, Louisiana",53703,77.0,27199,20.69158878504673
1123,"West Carroll Parish, Louisiana",31926,75.2,9751,99.6604938271605
1124,"West Feliciana Parish, Louisiana",56685,76.3,15310,119.71506849315068
1125,"Winn Parish, Louisiana",31087,75.6,13755,153.36501079913606
1126,"Androscoggin County, Maine",47537,62.2,111139,317.7171052631579
1127,"Aroostook County, Maine",36923,57.3,67105,676.9962380300958
1128,"Cumberland County, Maine",60051,62.4,303069,170.4402192531689
1129,"Franklin County, Maine",42811,57.1,29456,1306.2803738317757
1130,"Hancock County, Maine",47030,61.4,55478,147.3642365097589
1131,"Kennebec County, Maine",46917,62.1,123642,268.27440633245385
1132,"Knox County, Maine",50693,61.8,40607,74.18532818532819
1133,"Lincoln County, Maine",50462,62.5,35237,67.80017226528854
1134,"Oxford County, Maine",40630,59.0,57777,936.505220154335
1135,"Penobscot County, Maine",44271,60.0,152199,344.0678033306899
1136,"Piscataquis County, Maine",37495,57.7,16800,1010.0524744027304
1137,"Sagadahoc County, Maine",53298,63.0,36699,59.71031746031746
1138,"Somerset County, Maine",40066,57.7,50477,909.8036458333332
1139,"Waldo County, Maine",44082,61.4,39607,283.58351893095767
1140,"Washington County, Maine",38083,60.8,31095,159.23335621139327
1141,"York County, Maine",57919,62.8,211972,202.3660974593919
1142,"Allegany County, Maryland",40551,66.0,68106,1168.4426229508197
1143,"Anne Arundel County, Maryland",89860,72.0,588261,66.25400457665904
1144,"Baltimore County, Maryland",67095,69.4,854535,337.3437171858593
1145,"Calvert County, Maryland",95828,71.8,92783,82.01654846335697
1146,"Caroline County, Maryland",52465,71.0,33293,37.65476190476191
1147,"Carroll County, Maryland",85385,67.7,172891,674.3271560940841
1148,"Cecil County, Maryland",66396,70.2,103725,154.00936967632026
1149,"Charles County, Maryland",90607,71.9,166617,113.76967930029154
1150,"Dorchester County, Maryland",47093,72.2,32531,7.245266005410279
1151,"Frederick County, Maryland",83700,68.0,271717,541.0396825396825
1152,"Garrett County, Maryland",45432,62.0,28806,2333.298648648649
1153,"Harford County, Maryland",80465,69.9,260924,286.36750483558995
1154,"Howard County, Maryland",110238,69.0,332317,401.1696682464455
1155,"Kent County, Maryland",58147,71.2,19198,30.065527065527064
1156,"Montgomery County, Maryland",99435,69.0,1062061,387.6461187214612
1157,"Somerset County, Maryland",35154,72.5,24620,4.890835579514825
1158,"Talbot County, Maryland",58228,72.0,37526,20.039242219215154
1159,"Washington County, Maryland",56228,67.5,154705,584.2849872773537
1160,"Wicomico County, Maryland",52278,71.8,103588,28.1029263370333
1161,"Worcester County, Maryland",56773,72.2,52460,12.617954070981211
1162,"Barnstable County, Massachusetts",63251,67.5,228996,24.648800408371617
1163,"Berkshire County, Massachusetts",49956,61.8,129026,1214.518743109151
1164,"Bristol County, Massachusetts",56842,66.8,579200,81.61066830165542
1165,"Dukes County, Massachusetts",64222,68.0,20600,22.968333333333334
1166,"Essex County, Massachusetts",69068,66.2,809829,66.2176130567834
1167,"Franklin County, Massachusetts",55221,63.8,71029,701.2492625368732
1168,"Hampden County, Massachusetts",50461,64.1,465825,373.5463054187192
1169,"Hampshire County, Massachusetts",61368,63.9,162308,501.17700453857793
1170,"Middlesex County, Massachusetts",85118,65.8,1632002,150.94505293902884
1171,"Nantucket County, Massachusetts",84057,67.5,14255,14.424657534246576
1172,"Norfolk County, Massachusetts",88262,66.2,725981,145.9112582781457
1173,"Plymouth County, Massachusetts",75459,66.8,530819,65.29326458266193
1174,"Suffolk County, Massachusetts",55044,67.1,797936,39.92190476190476
1175,"Worcester County, Massachusetts",65313,64.3,862111,626.9242286751361
1176,"Alcona County, Michigan",38033,59.6,10167,778.7317073170732
1177,"Alger County, Michigan",39300,58.1,8842,787.3058252427185
1178,"Allegan County, Michigan",54264,65.6,120502,699.6317365269462
1179,"Alpena County, Michigan",38829,59.8,28907,662.4466858789625
1180,"Antrim County, Michigan",46845,59.9,23431,770.3139013452915
1181,"Arenac County, Michigan",38307,61.6,15002,640.475
1182,"Baraga County, Michigan",39803,57.4,8158,1153.460199004975
1183,"Barry County, Michigan",55064,64.8,62423,860.6352
1184,"Bay County, Michigan",45583,63.0,103856,603.3940740740741
1185,"Benzie County, Michigan",47388,61.2,17970,749.0
1186,"Berrien County, Michigan",44993,67.5,154316,668.7836965294592
1187,"Branch County, Michigan",44373,65.6,44862,954.0287610619469
1188,"Calhoun County, Michigan",42520,65.3,134310,919.3429752066116
1189,"Cass County, Michigan",46570,66.4,51589,834.301737756714
1190,"Charlevoix County, Michigan",46554,59.9,26054,701.5330948121646
1191,"Cheboygan County, Michigan",40219,59.0,25579,679.2140287769785
1192,"Chippewa County, Michigan",41993,57.7,36785,656.672849915683
1193,"Clare County, Michigan",33015,60.7,30856,1026.858123569794
1194,"Clinton County, Michigan",60909,64.6,79128,773.5509554140127
1195,"Crawford County, Michigan",41743,58.9,12988,1188.9302325581396
1196,"Delta County, Michigan",42031,59.0,36903,667.4902234636871
1197,"Dickinson County, Michigan",43779,57.8,25947,1128.7835497835497
1198,"Eaton County, Michigan",54993,64.8,109175,888.2075757575758
1199,"Emmet County, Michigan",51018,59.8,34112,761.9927797833935
1200,"Genesee County, Michigan",42327,64.4,406211,783.8904958677685
1201,"Gladwin County, Michigan",38021,61.8,25386,774.7915492957746
1202,"Gogebic County, Michigan",35686,57.1,14380,1467.0
1203,"Grand Traverse County, Michigan",52950,60.8,95238,795.46
1204,"Gratiot County, Michigan",41912,63.7,41761,741.6811594202899
1205,"Hillsdale County, Michigan",41961,65.1,45746,1068.275167785235
1206,"Houghton County, Michigan",37776,59.0,37361,940.0439698492462
1207,"Huron County, Michigan",42161,62.6,31407,660.7937743190662
1208,"Ingham County, Michigan",45679,64.6,284900,879.5270890725436
1209,"Ionia County, Michigan",49124,64.1,66804,769.3731656184486
1210,"Iosco County, Michigan",37317,60.8,25237,683.8137254901961
1211,"Iron County, Michigan",33663,56.4,11631,1498.773154362416
